,RR,accuracy,reassignment,t3,top10,top11,top12,top13,top14,top15,top2,top3,top4,top5,top6,top7,top8,top9
svm_m10_f0_d0_b0_c36_v0,0.5005670519956235,0.3142857142857143,0.8666666666666667,0.43333333333333335,0.9238095238095239,0.9523809523809523,0.9619047619047619,0.9761904761904762,0.9904761904761905,1.0,0.4523809523809524,0.580952380952381,0.6571428571428571,0.7476190476190476,0.8,0.8476190476190476,0.8666666666666667,0.8952380952380953
nb_m11_f0_d0_b0_c36_v0,0.5209030123315838,0.3523809523809524,0.8,0.4515873015873016,0.9380952380952381,0.9476190476190476,0.9666666666666667,0.9761904761904762,0.9904761904761905,1.0,0.5,0.5761904761904761,0.6714285714285714,0.7380952380952381,0.8,0.8476190476190476,0.8857142857142857,0.9047619047619048
lrr_m11_f0_d0_b0_c36_v0,0.5339091464091464,0.35714285714285715,0.7666666666666666,0.4746031746031746,0.9333333333333333,0.9428571428571428,0.9761904761904762,0.9904761904761905,1.0,1.0,0.5380952380952381,0.6190476190476191,0.6857142857142857,0.7523809523809524,0.8,0.8285714285714286,0.8714285714285714,0.9
svm_m11_f0_d0_b0_c36_v0,0.4803417878417878,0.2857142857142857,0.8333333333333334,0.4103174603174603,0.9428571428571428,0.9523809523809523,0.9619047619047619,0.9714285714285714,0.9857142857142858,1.0,0.4523809523809524,0.5761904761904761,0.6714285714285714,0.7476190476190476,0.8047619047619048,0.8476190476190476,0.8904761904761904,0.9238095238095239
nb_m12_f0_d0_b0_c36_v0,0.5263832067403496,0.3523809523809524,0.7666666666666666,0.4666666666666667,0.9333333333333333,0.9571428571428572,0.9619047619047619,0.9761904761904762,0.9904761904761905,1.0,0.5142857142857142,0.6142857142857143,0.6857142857142857,0.7285714285714285,0.7857142857142857,0.8380952380952381,0.8809523809523809,0.9142857142857143
lrr_m12_f0_d0_b0_c36_v0,0.5105482744768459,0.319047619047619,0.8,0.45555555555555555,0.9285714285714286,0.9523809523809523,0.9666666666666667,0.9761904761904762,0.9857142857142858,1.0,0.5190476190476191,0.6285714285714286,0.6761904761904762,0.7380952380952381,0.7904761904761904,0.8238095238095238,0.8476190476190476,0.8857142857142857
svm_m12_f0_d0_b0_c36_v0,0.496601652315938,0.2619047619047619,0.8,0.4365079365079365,0.919047619047619,0.9380952380952381,0.9476190476190476,0.9714285714285714,0.9904761904761905,1.0,0.49047619047619045,0.6142857142857143,0.6857142857142857,0.7571428571428571,0.7904761904761904,0.8333333333333334,0.8809523809523809,0.8952380952380953
nb_m13_f0_d0_b0_c36_v0,0.5831006163149021,0.4095238095238095,0.8,0.5277777777777778,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.5761904761904761,0.680952380952381,0.7714285714285715,0.8142857142857143,0.8666666666666667,0.9,0.9333333333333333,0.9523809523809523
lrr_m13_f0_d0_b0_c36_v0,0.589219338862196,0.40476190476190477,0.8333333333333334,0.542063492063492,0.9571428571428572,0.9666666666666667,0.9714285714285714,0.9809523809523809,0.9857142857142858,1.0,0.6095238095238096,0.7142857142857143,0.7619047619047619,0.8285714285714286,0.8809523809523809,0.919047619047619,0.9428571428571428,0.9476190476190476
svm_m13_f0_d0_b0_c36_v0,0.4760098102955246,0.2904761904761905,0.8666666666666667,0.4,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.4666666666666667,0.5380952380952381,0.6285714285714286,0.7095238095238096,0.7904761904761904,0.8523809523809524,0.8714285714285714,0.919047619047619
nb_m14_f0_d0_b0_c36_v0,0.5620974395974396,0.3619047619047619,0.8,0.5103174603174603,0.9666666666666667,0.9809523809523809,0.9809523809523809,0.9904761904761905,0.9952380952380953,1.0,0.5761904761904761,0.7,0.780952380952381,0.8380952380952381,0.861904761904762,0.9095238095238095,0.9428571428571428,0.9523809523809523
lrr_m14_f0_d0_b0_c36_v0,0.5752360866646581,0.38095238095238093,0.8,0.5261904761904762,0.9619047619047619,0.9666666666666667,0.9761904761904762,0.9809523809523809,0.9809523809523809,1.0,0.5952380952380952,0.7095238095238096,0.7571428571428571,0.8380952380952381,0.8904761904761904,0.9285714285714286,0.9476190476190476,0.9571428571428572
svm_m14_f0_d0_b0_c36_v0,0.49533697783697783,0.2619047619047619,0.8,0.43492063492063493,0.9285714285714286,0.9619047619047619,0.9666666666666667,0.9761904761904762,0.9761904761904762,1.0,0.4857142857142857,0.6190476190476191,0.7,0.7476190476190476,0.7904761904761904,0.8571428571428571,0.8904761904761904,0.9142857142857143
nb_m15_f0_d0_b0_c36_v0,0.5923970870399442,0.4095238095238095,0.8,0.5436507936507936,0.9619047619047619,0.9619047619047619,0.9666666666666667,0.9809523809523809,0.9904761904761905,1.0,0.5952380952380952,0.719047619047619,0.8095238095238095,0.8523809523809524,0.8857142857142857,0.9047619047619048,0.9285714285714286,0.9428571428571428
lrr_m15_f0_d0_b0_c36_v0,0.6151080533223391,0.4380952380952381,0.8,0.5746031746031746,0.9619047619047619,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9904761904761905,1.0,0.6285714285714286,0.7523809523809524,0.8,0.8428571428571429,0.8857142857142857,0.919047619047619,0.9428571428571428,0.9619047619047619
svm_m15_f0_d0_b0_c36_v0,0.4788419252704967,0.24761904761904763,0.8666666666666667,0.40634920634920635,0.9380952380952381,0.9619047619047619,0.9809523809523809,0.9904761904761905,0.9904761904761905,1.0,0.46190476190476193,0.5666666666666667,0.6761904761904762,0.7428571428571429,0.7857142857142857,0.8571428571428571,0.8952380952380953,0.919047619047619
nb_m16_f0_d0_b0_c36_v0,0.5414913261341833,0.3619047619047619,0.7333333333333334,0.4865079365079365,0.9428571428571428,0.9619047619047619,0.9714285714285714,0.9761904761904762,0.9904761904761905,1.0,0.5476190476190477,0.6428571428571429,0.7047619047619048,0.7571428571428571,0.7857142857142857,0.8523809523809524,0.8857142857142857,0.9142857142857143
lrr_m16_f0_d0_b0_c36_v0,0.5485808635808636,0.3761904761904762,0.8333333333333334,0.49444444444444446,0.9333333333333333,0.9571428571428572,0.9714285714285714,0.9857142857142858,0.9952380952380953,1.0,0.5523809523809524,0.6428571428571429,0.7,0.7619047619047619,0.7952380952380952,0.8238095238095238,0.861904761904762,0.9047619047619048
svm_m16_f0_d0_b0_c36_v0,0.5254843172700315,0.26666666666666666,0.8333333333333334,0.46904761904761905,0.9285714285714286,0.9523809523809523,0.9714285714285714,0.9761904761904762,0.9952380952380953,1.0,0.5095238095238095,0.638095238095238,0.6857142857142857,0.7761904761904762,0.819047619047619,0.8571428571428571,0.8809523809523809,0.9095238095238095
