Timestamp,What program are you in currently?,What year are you in?,Are you happy with your program?,1. What field interests you the most?,2. I would like to have been part of the team that was responsible for:,3. Who would be your dream professor?,4. I would enjoy working...,5. An ideal outfit to wear to work would be:,"6. When you start work, ideally you would want to...",7. I would rather design something that...,8. I would rather analyze...,9. I would rather gather information for solving a problem...,10. I prefer to...,11. I would rather work as part of a...,12. When working on a project would you rather,13. What cause do you care about the most?,14. When setting goals for yourself you find yourself thinking about...,15. You are most likely to eavesdrop in a conversation regarding,16. What subject would you like to develop your skills in?,"17. In an ideal setting, you are working with:",18. Would you prefer to be the leader on a team?,What is your gender? Your answer will only be used for data collection purposes.
2016/11/07 10:56:10 PM EST,Biomedical Engineering,1,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes,Female
2016/11/08 10:23:49 AM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
2016/11/08 3:13:43 PM EST,Biomedical Engineering,1,Yes,Research,The Robot,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Female
2016/11/08 7:16:33 PM EST,Biomedical Engineering,3,Yes,Software Development,The Robot,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No,Female
2016/11/09 3:05:07 PM EST,Biomedical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,Yes,Female
2016/11/09 3:09:55 PM EST,Biomedical Engineering,2,No,Software Development,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By talking to the people who use the system,Write,Focused team,Know all the requirements for the project at the beginning,Human Rights,A week from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,Machinery,No,Female
2016/11/11 10:51:44 AM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the internal components of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No,Male
2016/11/11 10:52:41 AM EST,Biomedical Engineering,1,Yes,Research,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes,Male
2016/11/11 11:17:56 AM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes,Female
2016/11/11 12:01:38 PM EST,Biomedical Engineering,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Continuously change and update requirements as you go,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,No,Female
2016/11/11 9:11:42 PM EST,Biomedical Engineering,1,Yes,Manufacturing,The Automobile,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Male
2016/11/02 11:43:53 AM EST,Chemical Engineering,4,No,Research,Solar Panels,"David Suzuki, Environmental Activist",In a manufacturing facility,Protective Clothing,Work in a start up,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Today,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Physics,People,Yes,I choose not to specify
2016/11/07 11:49:14 AM EST,Chemical Engineering,3,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,Yes,Female
2016/11/07 11:49:40 AM EST,Chemical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,No,Female
2016/11/07 11:52:13 AM EST,Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Focused team,Continuously change and update requirements as you go,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,Machinery,No,Male
2016/11/07 11:53:53 AM EST,Chemical Engineering,3,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Female
